match_id,batter,runs,balls_faced,got_out,strike_rate,avg_runs_last_5,batting_team,bowling_team,inning,target_runs
733999,AB de Villiers,58,32,1,181.25,45.2,Royal Challengers Bangalore,Rajasthan Royals,1,33.0
734005,AB de Villiers,33,17,1,194.11764705882354,48.4,Royal Challengers Bangalore,Delhi Daredevils,1,28.0
734013,AB de Villiers,28,15,1,186.66666666666666,36.2,Royal Challengers Bangalore,Chennai Super Kings,2,29.0
734021,AB de Villiers,29,18,1,161.11111111111111,40.2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,13.0
734027,AB de Villiers,13,13,1,100.0,32.2,Royal Challengers Bangalore,Kolkata Knight Riders,2,10.0
734035,AB de Villiers,10,6,1,166.66666666666669,22.6,Royal Challengers Bangalore,Chennai Super Kings,1,28.0
829713,AB de Villiers,28,13,1,215.3846153846154,21.6,Royal Challengers Bangalore,Kolkata Knight Riders,2,46.0
829719,AB de Villiers,46,29,1,158.6206896551724,25.2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,41.0
829737,AB de Villiers,41,12,1,341.66666666666663,27.6,Royal Challengers Bangalore,Mumbai Indians,2,14.0
829745,AB de Villiers,14,10,0,140.0,27.8,Royal Challengers Bangalore,Chennai Super Kings,2,47.0
829749,AB de Villiers,47,34,0,138.23529411764704,35.2,Royal Challengers Bangalore,Rajasthan Royals,2,57.0
829763,AB de Villiers,57,47,0,121.27659574468086,41.0,Royal Challengers Bangalore,Rajasthan Royals,1,2.0
829771,AB de Villiers,2,4,1,50.0,32.2,Royal Challengers Bangalore,Kolkata Knight Riders,2,21.0
829779,AB de Villiers,21,14,1,150.0,28.2,Royal Challengers Bangalore,Chennai Super Kings,2,47.0
829785,AB de Villiers,47,24,0,195.83333333333331,34.8,Royal Challengers Bangalore,Kings XI Punjab,1,133.0
829795,AB de Villiers,133,61,0,218.0327868852459,52.0,Royal Challengers Bangalore,Mumbai Indians,1,10.0
829803,AB de Villiers,10,10,1,100.0,42.6,Royal Challengers Bangalore,Kings XI Punjab,2,0.0
829807,AB de Villiers,0,1,1,0.0,42.2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,66.0
829819,AB de Villiers,66,40,0,165.0,51.2,Royal Challengers Bangalore,Rajasthan Royals,1,1.0
829821,AB de Villiers,1,3,1,33.33333333333333,42.0,Royal Challengers Bangalore,Chennai Super Kings,1,82.0
980907,AB de Villiers,82,44,1,186.36363636363635,31.8,Royal Challengers Bangalore,Sunrisers Hyderabad,1,55.0
980921,AB de Villiers,55,33,1,166.66666666666669,40.8,Royal Challengers Bangalore,Delhi Daredevils,1,29.0
